number,file,label,group,color
137,castilian_match_declarative-broad-focus_Mariano-habla-del-tiempo.wav,*,1,Teal
138,castilian_match_declarative-broad-focus_Marta-abre-el-regalo.wav,*,1,Navy
139,castilian_match_declarative-narrow-focus_Ana-lleva-el-abrigo.wav,*,1,Pink
140,castilian_match_declarative-narrow-focus_Daniel-iba-a-Bolivia.wav,*,1,Maroon
141,castilian_match_declarative-narrow-focus_David-leia-el-libro.wav,*,1,Olive
142,castilian_match_declarative-narrow-focus_Emilio-ama-la-marcha.wav,*,1,Grey
143,castilian_match_declarative-narrow-focus_Manuela-vende-el-carro.wav,*,1,Red
144,castilian_match_declarative-narrow-focus_Maria-bebe-el-vino.wav,*,1,Blue
145,castilian_match_declarative-narrow-focus_Mariano-habla-del-tiempo.wav,*,1,Green
146,castilian_match_declarative-narrow-focus_Marta-abre-el-regalo.wav,*,1,Magenta
147,castilian_match_interrogative-partial-wh_Cuando-bebia-el-vino.wav,*,1,Black
148,castilian_match_interrogative-partial-wh_Cuando-leia-el-libro.wav,*,1,Lime
149,castilian_match_interrogative-partial-wh_Cuando-lleva-el-abrigo.wav,*,1,Purple
150,castilian_match_interrogative-partial-wh_Cuando-vendia-el-carro.wav,*,1,Teal
151,castilian_match_interrogative-partial-wh_Por-que-abre-el-regalo.wav,*,1,Navy
152,castilian_match_interrogative-partial-wh_Por-que-ama-la-navidad.wav,*,1,Pink
153,castilian_match_interrogative-partial-wh_Por-que-hablaba-del-agua.wav,*,1,Maroon
154,castilian_match_interrogative-partial-wh_Por-que-iba-a-Bolivia.wav,*,1,Olive
155,castilian_match_interrogative-total-yn_Ana-lleva-el-abrigo.wav,*,1,Grey
156,castilian_match_interrogative-total-yn_Daniel-iba-a-Bolivia.wav,*,1,Red
157,castilian_match_interrogative-total-yn_David-leia-el-libro.wav,*,1,Blue
158,castilian_match_interrogative-total-yn_Emilio-ama-la-marcha.wav,*,1,Green
159,castilian_match_interrogative-total-yn_Manuela-vende-el-carro.wav,*,1,Magenta
160,castilian_match_interrogative-total-yn_Maria-bebe-el-vino.wav,*,1,Black
161,castilian_match_interrogative-total-yn_Mariano-habla-del-tiempo.wav,*,1,Lime
162,castilian_match_interrogative-total-yn_Marta-abre-el-regalo.wav,*,1,Purple
163,castilian_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien.wav,*,1,Teal
164,castilian_mismatch_declarative-broad-focus_El-hombre-mira-la-luna.wav,*,1,Navy
165,castilian_mismatch_declarative-broad-focus_El-nino-oye-el-rio.wav,*,1,Pink
166,castilian_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris.wav,*,1,Maroon
167,castilian_mismatch_declarative-broad-focus_La-nina-lava-el-plato.wav,*,1,Olive
168,castilian_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta.wav,*,1,Grey
169,castilian_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago.wav,*,1,Red
170,castilian_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia.wav,*,1,Blue
171,castilian_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien.wav,*,1,Green
172,castilian_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna.wav,*,1,Magenta
173,castilian_mismatch_declarative-narrow-focus_El-nino-oye-el-rio.wav,*,1,Black
174,castilian_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris.wav,*,1,Lime
175,castilian_mismatch_declarative-narrow-focus_La-nina-lava-el-plato.wav,*,1,Purple
176,castilian_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta.wav,*,1,Teal
177,castilian_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago.wav,*,1,Navy
178,castilian_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia.wav,*,1,Pink
179,castilian_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta.wav,*,1,Maroon
180,castilian_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato.wav,*,1,Olive
181,castilian_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna.wav,*,1,Grey
182,castilian_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien.wav,*,1,Red
183,castilian_mismatch_interrogative-partial-wh_Por-que-odiaba-la-lluvia.wav,*,1,Blue
184,castilian_mismatch_interrogative-partial-wh_Por-que-oia-el-rio.wav,*,1,Green
185,castilian_mismatch_interrogative-partial-wh_Por-que-venia-del-lago.wav,*,1,Magenta
186,castilian_mismatch_interrogative-partial-wh_Por-que-vivia-en-Paris.wav,*,1,Black
187,castilian_mismatch_interrogative-total-yn_El-bebe-comia-muy-bien.wav,*,1,Lime
188,castilian_mismatch_interrogative-total-yn_El-hombre-mira-la-luna.wav,*,1,Purple
189,castilian_mismatch_interrogative-total-yn_El-nino-oye-el-rio.wav,*,1,Teal
190,castilian_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris.wav,*,1,Navy
191,castilian_mismatch_interrogative-total-yn_La-nina-lava-el-plato.wav,*,1,Pink
192,castilian_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta.wav,*,1,Maroon
193,castilian_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago.wav,*,1,Olive
194,castilian_mismatch_interrogative-total-yn_Mi-tia-odia-la-lluvia.wav,*,1,Grey
195,castilian_question_filler_Mi-esposo-conoce-al-chico.wav,*,1,Red
196,chilean_match_declarative-broad-focus_Ana-lleva-el-abrigo.wav,*,1,Blue
197,chilean_match_declarative-broad-focus_Daniel-iba-a-Bolivia.wav,*,1,Green
198,chilean_match_declarative-broad-focus_David-leia-el-libro.wav,*,1,Magenta
199,chilean_match_declarative-broad-focus_Emilio-ama-la-marcha.wav,*,1,Black
200,chilean_match_declarative-broad-focus_Manuela-vende-el-carro.wav,*,1,Lime
201,chilean_match_declarative-broad-focus_Maria-bebe-el-vino.wav,*,1,Purple
202,chilean_match_declarative-broad-focus_Mariano-habla-del-tiempo.wav,*,1,Teal
203,chilean_match_declarative-broad-focus_Marta-abre-el-regalo.wav,*,1,Navy
204,chilean_match_declarative-narrow-focus_Ana-lleva-el-abrigo.wav,*,1,Pink
205,chilean_match_declarative-narrow-focus_Daniel-iba-a-Bolivia.wav,*,1,Maroon
206,chilean_match_declarative-narrow-focus_David-leia-el-libro.wav,*,1,Olive
207,chilean_match_declarative-narrow-focus_Emilio-ama-la-marcha.wav,*,1,Grey
208,chilean_match_declarative-narrow-focus_Manuela-vende-el-carro.wav,*,1,Red
209,chilean_match_declarative-narrow-focus_Maria-bebe-el-vino.wav,*,1,Blue
210,chilean_match_declarative-narrow-focus_Mariano-habla-del-tiempo.wav,*,1,Green
211,chilean_match_declarative-narrow-focus_Marta-abre-el-regalo.wav,*,1,Magenta
212,chilean_match_interrogative-partial-wh_Cuando-bebia-el-vino.wav,*,1,Black
213,chilean_match_interrogative-partial-wh_Cuando-leia-el-libro.wav,*,1,Lime
214,chilean_match_interrogative-partial-wh_Cuando-lleva-el-abrigo.wav,*,1,Purple
215,chilean_match_interrogative-partial-wh_Cuando-vendia-el-carro.wav,*,1,Teal
216,chilean_match_interrogative-partial-wh_Por-que-abre-el-regalo.wav,*,1,Navy
217,chilean_match_interrogative-partial-wh_Por-que-ama-la-navidad.wav,*,1,Pink
218,chilean_match_interrogative-partial-wh_Por-que-hablaba-del-agua.wav,*,1,Maroon
219,chilean_match_interrogative-partial-wh_Por-que-iba-a-Bolivia.wav,*,1,Olive
220,chilean_match_interrogative-total-yn_Ana-lleva-el-abrigo.wav,*,1,Grey
221,chilean_match_interrogative-total-yn_Daniel-iba-a-Bolivia.wav,*,1,Red
222,chilean_match_interrogative-total-yn_David-leia-el-libro.wav,*,1,Blue
223,chilean_match_interrogative-total-yn_Emilio-ama-la-marcha.wav,*,1,Green
224,chilean_match_interrogative-total-yn_Manuela-vende-el-carro.wav,*,1,Magenta
225,chilean_match_interrogative-total-yn_Maria-bebe-el-vino.wav,*,1,Black
226,chilean_match_interrogative-total-yn_Mariano-habla-del-tiempo.wav,*,1,Lime
227,chilean_match_interrogative-total-yn_Marta-abre-el-regalo.wav,*,1,Purple
228,chilean_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien.wav,*,1,Teal
229,chilean_mismatch_declarative-broad-focus_El-hombre-mira-la-luna.wav,*,1,Navy
230,chilean_mismatch_declarative-broad-focus_El-nino-oye-el-rio.wav,*,1,Pink
231,chilean_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris.wav,*,1,Maroon
232,chilean_mismatch_declarative-broad-focus_La-nina-lava-el-plato.wav,*,1,Olive
233,chilean_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta.wav,*,1,Grey
234,chilean_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago.wav,*,1,Red
235,chilean_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia.wav,*,1,Blue
236,chilean_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien.wav,*,1,Green
237,chilean_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna.wav,*,1,Magenta
238,chilean_mismatch_declarative-narrow-focus_El-nino-oye-el-rio.wav,*,1,Black
239,chilean_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris.wav,*,1,Lime
240,chilean_mismatch_declarative-narrow-focus_La-nina-lava-el-plato.wav,*,1,Purple
241,chilean_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta.wav,*,1,Teal
242,chilean_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago.wav,*,1,Navy
243,chilean_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia.wav,*,1,Pink
244,chilean_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta.wav,*,1,Maroon
245,chilean_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato.wav,*,1,Olive
246,chilean_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna.wav,*,1,Grey
247,chilean_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien.wav,*,1,Red
248,chilean_mismatch_interrogative-partial-wh_Por-que-odiaba-la-lluvia.wav,*,1,Blue
249,chilean_mismatch_interrogative-partial-wh_Por-que-oia-el-rio.wav,*,1,Green
250,chilean_mismatch_interrogative-partial-wh_Por-que-venia-del-lago.wav,*,1,Magenta
251,chilean_mismatch_interrogative-partial-wh_Por-que-vivia-en-Paris.wav,*,1,Black
252,chilean_mismatch_interrogative-total-yn_El-bebe-comia-muy-bien.wav,*,1,Lime
253,chilean_mismatch_interrogative-total-yn_El-hombre-mira-la-luna.wav,*,1,Purple
254,chilean_mismatch_interrogative-total-yn_El-nino-oye-el-rio.wav,*,1,Teal
255,chilean_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris.wav,*,1,Navy
256,chilean_mismatch_interrogative-total-yn_La-nina-lava-el-plato.wav,*,1,Pink
257,chilean_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta.wav,*,1,Maroon
258,chilean_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago.wav,*,1,Olive
259,chilean_mismatch_interrogative-total-yn_Mi-tia-odia-la-lluvia.wav,*,1,Grey
260,chilean_question_filler_Mi-padre-cantaba-bien.wav,*,1,Red
261,cuban_match_declarative-broad-focus_Ana-lleva-el-abrigo.wav,*,1,Blue
262,cuban_match_declarative-broad-focus_Daniel-iba-a-Bolivia.wav,*,1,Green
263,cuban_match_declarative-broad-focus_David-leia-el-libro.wav,*,1,Magenta
264,cuban_match_declarative-broad-focus_Emilio-ama-la-marcha.wav,*,1,Black
265,cuban_match_declarative-broad-focus_Manuela-vende-el-carro.wav,*,1,Lime
266,cuban_match_declarative-broad-focus_Maria-bebe-el-vino.wav,*,1,Purple
267,cuban_match_declarative-broad-focus_Mariano-habla-del-tiempo.wav,*,1,Teal
268,cuban_match_declarative-broad-focus_Marta-abre-el-regalo.wav,*,1,Navy
269,cuban_match_declarative-narrow-focus_Ana-lleva-el-abrigo.wav,*,1,Pink
270,cuban_match_declarative-narrow-focus_Daniel-iba-a-Bolivia.wav,*,1,Maroon
271,cuban_match_declarative-narrow-focus_David-leia-el-libro.wav,*,1,Olive
272,cuban_match_declarative-narrow-focus_Emilio-ama-la-marcha.wav,*,1,Grey
273,cuban_match_declarative-narrow-focus_Manuela-vende-el-carro.wav,*,1,Red
274,cuban_match_declarative-narrow-focus_Maria-bebe-el-vino.wav,*,1,Blue
275,cuban_match_declarative-narrow-focus_Mariano-habla-del-tiempo.wav,*,1,Green
276,cuban_match_declarative-narrow-focus_Marta-abre-el-regalo.wav,*,1,Magenta
277,cuban_match_interrogative-partial-wh_Cuando-bebia-el-vino.wav,*,1,Black
278,cuban_match_interrogative-partial-wh_Cuando-leia-el-libro.wav,*,1,Lime
279,cuban_match_interrogative-partial-wh_Cuando-lleva-el-abrigo.wav,*,1,Purple
280,cuban_match_interrogative-partial-wh_Cuando-vendia-el-carro.wav,*,1,Teal
281,cuban_match_interrogative-partial-wh_Por-que-abre-el-regalo.wav,*,1,Navy
282,cuban_match_interrogative-partial-wh_Por-que-ama-la-navidad.wav,*,1,Pink
283,cuban_match_interrogative-partial-wh_Por-que-hablaba-del-agua.wav,*,1,Maroon
284,cuban_match_interrogative-partial-wh_Por-que-iba-a-Bolivia.wav,*,1,Olive
285,cuban_match_interrogative-total-yn_Ana-lleva-el-abrigo.wav,*,1,Grey
286,cuban_match_interrogative-total-yn_Daniel-iba-a-Bolivia.wav,*,1,Red
287,cuban_match_interrogative-total-yn_David-leia-el-libro.wav,*,1,Blue
288,cuban_match_interrogative-total-yn_Emilio-ama-la-marcha.wav,*,1,Green
289,cuban_match_interrogative-total-yn_Manuela-vende-el-carro.wav,*,1,Magenta
290,cuban_match_interrogative-total-yn_Maria-bebe-el-vino.wav,*,1,Black
291,cuban_match_interrogative-total-yn_Mariano-habla-del-tiempo.wav,*,1,Lime
292,cuban_match_interrogative-total-yn_Marta-abre-el-regalo.wav,*,1,Purple
293,cuban_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien.wav,*,1,Teal
294,cuban_mismatch_declarative-broad-focus_El-hombre-mira-la-luna.wav,*,1,Navy
295,cuban_mismatch_declarative-broad-focus_El-nino-oye-el-rio.wav,*,1,Pink
296,cuban_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris.wav,*,1,Maroon
297,cuban_mismatch_declarative-broad-focus_La-nina-lava-el-plato.wav,*,1,Olive
298,cuban_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta.wav,*,1,Grey
299,cuban_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago.wav,*,1,Red
300,cuban_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia.wav,*,1,Blue
301,cuban_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien.wav,*,1,Green
302,cuban_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna.wav,*,1,Magenta
303,cuban_mismatch_declarative-narrow-focus_El-nino-oye-el-rio.wav,*,1,Black
304,cuban_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris.wav,*,1,Lime
305,cuban_mismatch_declarative-narrow-focus_La-nina-lava-el-plato.wav,*,1,Purple
306,cuban_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta.wav,*,1,Teal
307,cuban_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago.wav,*,1,Navy
308,cuban_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia.wav,*,1,Pink
309,cuban_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta.wav,*,1,Maroon
