item_num,item,is_test_item,is_distractor,is_agree_score,is_disagree_score,eq_trials.thisRepN,eq_trials.thisTrialN,eq_trials.thisN,eq_trials.thisIndex,text_eq_question_trial.started,text_eq_question_trial.stopped,slider_eq_trial.response,participant,session,date,expName,psychopyVersion,frameRate,
37,"When I talk to people, I tend to talk about their experiences rather than 
  my own.",1,0,1,0,0,36,36,36,182.0267249449971,None,slightly disagree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
38,It upsets me to see an animal in pain.,1,0,1,0,0,37,37,37,185.61023323098198,None,strongly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
39,I am able to make decisions without being influenced by people’s feelings.,1,0,0,1,0,38,38,38,188.59334799996577,None,slightly disagree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
40,I can’t relax until I have done everything I had planned to do that day.,0,1,0,0,0,39,39,39,193.84305922698695,None,slightly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
41,"I can easily tell if someone else is interested or bored with what I am 
  saying.",1,0,1,0,0,40,40,40,197.69328417099314,None,slightly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
42,I get upset if I see people suffering on news programmes.,1,0,1,0,0,41,41,41,202.57642150396714,None,slightly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
43,"Friends usually talk to me about their problems as they say that I am very 
  understanding.",1,0,1,0,0,42,42,42,205.65989003196592,None,strongly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
44,"I can sense if I am intruding, even if the other person doesn’t tell me.",1,0,1,0,0,43,43,43,210.75953192898305,None,slightly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
45,"I often start new hobbies but quickly become bored with them and move on to 
  something else.",0,1,0,0,0,44,44,44,215.27594876498915,None,slightly disagree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
46,People sometimes tell me that I have gone too far with teasing.,1,0,0,1,0,45,45,45,219.69274381699506,None,slightly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
47,I would be too nervous to go on a big rollercoaster.,0,1,0,0,0,46,46,46,223.0260963169858,None,strongly disagree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
48,"Other people, often say that I am insensitive, though I don’t always see 
  why.",1,0,0,1,0,47,47,47,227.64242686197395,None,slightly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
49,"If I see a stranger in a group, I think that it is up to them to make an 
  effort to join in.",1,0,0,1,0,48,48,48,232.75913810700877,None,strongly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
50,I usually stay emotionally detached when watching a film.,1,0,0,1,0,49,49,49,237.82570346898865,None,strongly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
51,"I like to be very organized in day-to-day life and often make lists of the 
  chores I have to do.",0,1,0,0,0,50,50,50,243.10926765197655,None,strongly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
52,I can tune into how someone else feels rapidly and intuitively.,1,0,1,0,0,51,51,51,247.24169042595895,None,slightly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
53,I don’t like to take risks.,0,1,0,0,0,52,52,52,252.52462108398322,None,slightly disagree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
54,I can easily work out what another person might want to talk about.,1,0,1,0,0,53,53,53,256.51215322798816,None,slightly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
55,I can tell if someone is masking their true emotion.,1,0,1,0,0,54,54,54,260.27456246700604,None,slightly disagree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
56,Before making a decision I always weigh up the pros and cons.,0,1,0,0,0,55,55,55,266.0589869709802,None,slightly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
57,I don’t consciously work out the rules of social situations.,1,0,1,0,0,56,56,56,269.7746472309809,None,strongly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
58,I am good at predicting what someone will do.,1,0,1,0,0,57,57,57,275.07448197097983,None,slightly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
59,I tend to get emotionally involved with a friend’s problems.,1,0,1,0,0,58,58,58,278.0572218929883,None,strongly disagree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
60,"I can usually appreciate the other person’s viewpoint, even if I don’t 
  agree with it.",1,0,1,0,0,59,59,59,282.0903177569853,None,slightly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
